latitude,longitude,elevation
52.532625,-117.645845,1402.4
52.532638,-117.645775,1402.3
52.532643,-117.645753,1402.3
52.53264,-117.64575,1402.2
52.532638,-117.645747,1402.2
52.532635,-117.645744,1402.2
52.532632,-117.645741,1402.2
52.53263,-117.645738,1402.2
52.532627,-117.645735,1402.2
52.532624,-117.645732,1402.2
52.532622,-117.645729,1402.2
52.532619,-117.645726,1402.2
52.532616,-117.645723,1402.2
52.532613,-117.64572,1402.2
52.532611,-117.645717,1402.2
52.532608,-117.645714,1402.1
52.532605,-117.645711,1402.1
52.532595,-117.645707,1402.1
52.53259,-117.645699,1402.1
52.532586,-117.645691,1402.1
52.532581,-117.645683,1402.1
52.532577,-117.645674,1402.0
52.532573,-117.645661,1402.0
52.532568,-117.645652,1402.0
52.532564,-117.645642,1402.0
52.532559,-117.645632,1402.0
52.532555,-117.645623,1401.9
52.532561,-117.645583,1401.9
52.532569,-117.645561,1401.8
52.532555,-117.645556,1401.8
52.532563,-117.645533,1401.8
52.532561,-117.645512,1401.7
52.532555,-117.645518,1401.7
52.53255,-117.645496,1401.7
52.532547,-117.645499,1401.7
52.532527,-117.645496,1401.6
52.532518,-117.645478,1401.6
52.532525,-117.645467,1401.6
52.532511,-117.645457,1401.5
52.532521,-117.645463,1401.5
52.532523,-117.645452,1401.5
52.532507,-117.645446,1401.4
52.532506,-117.645432,1401.4
52.5325,-117.645422,1401.4
52.532492,-117.645408,1401.4
52.532495,-117.645386,1401.3
52.532499,-117.645377,1401.3
52.532502,-117.645368,1401.3
52.532506,-117.645359,1401.3
52.53251,-117.64535,1401.3
52.532532,-117.645348,1401.2
52.53254,-117.645344,1401.2
52.532549,-117.645341,1401.2
52.532555,-117.64534,1401.1
52.532569,-117.645336,1401.1
52.532569,-117.645326,1401.1
52.532579,-117.645319,1401.1
52.532592,-117.64531,1401.0
52.532606,-117.645297,1401.0
52.532599,-117.64529,1401.0
52.532608,-117.645284,1400.9
52.532616,-117.645278,1400.9
52.532626,-117.645279,1400.9
52.532636,-117.645277,1400.9
52.532637,-117.645272,1400.9
52.532633,-117.645266,1400.9
52.532631,-117.645262,1400.8
52.532628,-117.645254,1400.8
52.53263,-117.645248,1400.8
52.532626,-117.645222,1400.8
52.532617,-117.645233,1400.8
52.532613,-117.645239,1400.7
52.532608,-117.645229,1400.7
52.532598,-117.645225,1400.7
52.532596,-117.645211,1400.7
52.532592,-117.645219,1400.7
52.532586,-117.645215,1400.6
52.532572,-117.645204,1400.6
52.532563,-117.645213,1400.6
52.532561,-117.645214,1400.6
52.532562,-117.645216,1400.6
52.532553,-117.645218,1400.5
52.532538,-117.645219,1400.5
52.532536,-117.645229,1400.5
52.532529,-117.645246,1400.5
52.532521,-117.645251,1400.5
52.532511,-117.645248,1400.4
52.532505,-117.645243,1400.4
52.532496,-117.645253,1400.4
52.532484,-117.645248,1400.4
52.532481,-117.645254,1400.4
52.532469,-117.645255,1400.3
52.53246,-117.645252,1400.3
52.53245,-117.645252,1400.3
52.532442,-117.645253,1400.3
52.532432,-117.645263,1400.2
52.532425,-117.645264,1400.2
52.532423,-117.645263,1400.2
52.532412,-117.645283,1400.2
52.532412,-117.645284,1400.2
52.532391,-117.645284,1400.1
52.532378,-117.645282,1400.1
52.53237,-117.645289,1398.4
52.532363,-117.645296,1398.4
52.532356,-117.645304,1398.4
52.532339,-117.64531,1398.4
52.532333,-117.645311,1398.3
52.532326,-117.645313,1398.3
52.53232,-117.645314,1398.3
52.532313,-117.645317,1398.3
52.532302,-117.645329,1398.3
52.532295,-117.64534,1398.3
52.532275,-117.645338,1398.2
52.532266,-117.645335,1398.2
52.532257,-117.645332,1398.2
52.532249,-117.645329,1398.2
52.53223,-117.645308,1398.1
52.53223,-117.645295,1398.1
52.532226,-117.645285,1398.1
52.53222,-117.645276,1398.1
52.532213,-117.645259,1398.0
52.532199,-117.645245,1398.0
52.532184,-117.645243,1398.0
52.532181,-117.645225,1398.0
52.53218,-117.645224,1398.0
52.532174,-117.645212,1398.0
52.532172,-117.645203,1398.0
52.532164,-117.64519,1398.0
52.532165,-117.645193,1398.0
52.532164,-117.645188,1397.9
52.532163,-117.64518,1397.9
52.532153,-117.645185,1397.9
52.532143,-117.645174,1397.9
52.532138,-117.645166,1397.9
52.532137,-117.64516,1397.9
52.532136,-117.645158,1397.9
52.53213,-117.645153,1397.9
52.532131,-117.645158,1397.9
52.532124,-117.645151,1397.9
52.532118,-117.645139,1397.9
52.532104,-117.645126,1397.8
52.532096,-117.645112,1397.8
52.532087,-117.645097,1397.7
52.532086,-117.645086,1397.6
52.53207,-117.645058,1397.1
52.532069,-117.645045,1396.9
52.532066,-117.645033,1396.8
52.532063,-117.645022,1396.6
52.53206,-117.645011,1396.5
52.532057,-117.645,1396.3
52.532053,-117.644983,1396.1
52.532044,-117.64496,1395.8
52.53205,-117.644949,1395.6
52.532048,-117.644942,1395.5
52.53204,-117.644925,1395.3
52.532044,-117.644913,1395.1
52.532032,-117.644889,1395.1
52.532027,-117.644879,1395.1
52.532021,-117.644868,1395.2
52.532015,-117.644858,1395.2
52.53202,-117.644844,1395.2
52.532027,-117.644846,1395.2
52.532033,-117.644836,1395.2
52.53204,-117.644828,1395.2
52.532045,-117.644815,1395.2
52.532047,-117.644791,1395.2
52.532053,-117.644781,1395.2
52.532061,-117.644794,1395.2
52.532063,-117.644783,1395.2
52.532072,-117.64478,1395.2
52.532076,-117.644787,1395.2
52.532077,-117.644797,1395.2
52.532075,-117.644786,1395.2
52.532083,-117.644797,1395.2
52.532087,-117.644781,1395.2
52.532086,-117.644753,1395.2
52.532077,-117.644748,1395.2
52.532075,-117.644738,1395.2
52.532076,-117.644738,1395.2
52.532071,-117.644716,1395.2
52.532064,-117.644717,1395.2
52.532067,-117.644708,1395.2
52.532065,-117.644696,1395.2
52.532055,-117.64468,1395.2
52.532061,-117.644647,1395.2
52.532053,-117.64467,1395.2
52.53207,-117.64467,1395.2
52.53208,-117.644657,1395.2
52.532078,-117.644638,1395.2
52.53208,-117.64463,1395.2
52.532095,-117.644642,1395.2
52.532105,-117.644639,1395.2
52.532107,-117.644652,1395.2
52.53211,-117.644648,1395.2
52.532121,-117.644653,1395.2
52.532124,-117.644649,1395.2
52.532133,-117.64466,1395.2
52.532135,-117.644641,1395.2
52.532142,-117.644615,1395.2
52.532145,-117.644617,1395.2
52.532146,-117.644625,1395.2
52.532153,-117.644625,1395.2
52.53215,-117.644627,1395.2
52.532163,-117.644637,1395.2
52.532169,-117.644631,1395.2
52.532167,-117.644607,1395.2
52.532175,-117.644597,1395.2
52.532182,-117.644591,1395.2
52.532193,-117.644606,1395.3
52.532197,-117.644611,1395.3
52.532201,-117.644616,1395.3
52.532205,-117.644622,1395.3
52.532209,-117.644627,1395.3
52.532213,-117.644632,1395.3
52.532216,-117.644638,1395.3
52.53222,-117.644643,1395.3
52.532228,-117.64464,1395.3
52.532223,-117.644659,1395.3
52.532224,-117.644668,1395.3
52.532233,-117.644666,1395.3
52.532233,-117.644666,1395.3
52.532233,-117.644666,1395.3
52.532233,-117.644666,1395.3
52.532244,-117.64468,1395.3
52.532256,-117.644689,1395.3
52.532261,-117.64469,1395.3
52.532265,-117.644691,1395.3
52.53227,-117.644692,1395.3
52.532274,-117.644693,1395.3
52.532279,-117.644694,1395.3
52.532288,-117.644706,1395.3
52.53229,-117.644711,1395.3
52.532289,-117.64471,1395.3
52.532289,-117.64471,1395.3
52.532284,-117.644712,1395.3
52.532297,-117.644704,1395.3
52.532274,-117.644675,1395.3
52.532277,-117.644664,1395.3
52.53227,-117.644669,1395.3
52.53227,-117.644668,1395.3
52.53227,-117.644668,1395.3
52.53227,-117.644668,1395.3
